KYTREASNOX,MCALDT,TMYTM
2000002,03/31/2014,0.0304177693
2000002,04/30/2014,0.0304178327
2000002,05/30/2014,0.0304178073
2000002,06/30/2014,0.0228131202
2000002,07/31/2014,0.0228131488
2000002,08/29/2014,0.0253480232
2000002,09/30/2014,0.0101390114
2000002,10/31/2014,0.0101390156
2000002,11/28/2014,0.0101390156
2000002,12/31/2014,0.0405576285
2000002,01/30/2015,0.0050694761
2000002,02/27/2015,0.0101390156
2000002,03/31/2015,0.0278829349
2000002,04/30/2015,0.0050694765
2000002,05/29/2015,0.0050694761
2000002,06/30/2015,0.022813163
2000002,07/31/2015,0.0633730067
2000002,08/31/2015,0.00253473
2000002,09/30/2015,-0.02027726
2000002,10/30/2015,0.0760487965
2000002,11/30/2015,0.1647893036
2000002,12/31/2015,0.1774698113
2000002,01/29/2016,0.3144274119
2000002,02/29/2016,0.3194966238
2000002,03/31/2016,0.2002930565
2000002,04/29/2016,0.2129725769
2000002,05/31/2016,0.3347260306
2000002,06/30/2016,0.2636977746
2000002,07/29/2016,0.2535514653
2000002,08/31/2016,0.3321876418
2000002,09/30/2016,0.2789153326
2000002,10/31/2016,0.3042769804
2000002,11/30/2016,0.4844275727
2000002,12/30/2016,0.4971100977
2000002,01/31/2017,0.5174242615
2000002,02/28/2017,0.6138826265
2000002,03/31/2017,0.75351207
