crsp_fundno,date,mtna,mret,mnav,ticker,tm
5270,31jan2000,10.1,-.0525304,14.79,"APIMX",2000m1
5270,29feb2000,10.7,.0371873,15.34,"APIMX",2000m2
5270,31mar2000,11.6,.0599739,16.26,"APIMX",2000m3
5270,28apr2000,11.7,-.0412054,15.59,"APIMX",2000m4
5270,31may2000,11.4,-.035279,15.04,"APIMX",2000m5
5270,30jun2000,12.1,.0305851,15.5,"APIMX",2000m6
5270,31jul2000,12.3,-.0296774,15.04,"APIMX",2000m7
5270,31aug2000,15.9,.0910904,16.41,"APIMX",2000m8
5270,29sep2000,14.9,-.0524071,15.55,"APIMX",2000m9
5270,31oct2000,15,-.0758842,14.37,"APIMX",2000m10
5270,30nov2000,13.6,-.0821155,13.19,"APIMX",2000m11
5270,29dec2000,13.5,.0078902,12.96,"APIMX",2000m12
5270,31jan2001,14.4,.0524691,13.64,"APIMX",2001m1
5270,28feb2001,13.1,-.1165689,12.05,"APIMX",2001m2
5270,30mar2001,12.5,-.0854772,11.02,"APIMX",2001m3
5270,30apr2001,13.5,.1034483,12.16,"APIMX",2001m4
5270,31may2001,13.8,-.0016447,12.14,"APIMX",2001m5
5270,29jun2001,14.1,-.0214168,11.88,"APIMX",2001m6
5270,31jul2001,13.6,-.0227273,11.61,"APIMX",2001m7
5270,31aug2001,12.7,-.0680448,10.82,"APIMX",2001m8
5270,28sep2001,11.3,-.1127542,9.6,"APIMX",2001m9
5270,31oct2001,12.5,.05625,10.14,"APIMX",2001m10
5270,30nov2001,13.7,.0897436,11.05,"APIMX",2001m11
5270,31dec2001,14.1,.0217195,11.29,"APIMX",2001m12
5270,31jan2002,13.9,-.0301151,10.95,"APIMX",2002m1
5270,28feb2002,12.7,-.0493151,10.41,"APIMX",2002m2
5270,28mar2002,13.8,.0585975,11.02,"APIMX",2002m3
5270,30apr2002,13.5,-.0635209,10.32,"APIMX",2002m4
5270,31may2002,13.9,-.0222868,10.09,"APIMX",2002m5
